품목코드,품목명,평균수주단가,Column 4
,,,
1.#JE+00,가쓰오다시국물900ml,,
11501122,조미액-갈릭라이스3kg,,
11501131,조미유-쉐프솔루션베이스볶음밥(시즌),,
13A00778,닭볶음탕소스H,3150,
13A00798,요리가맛있어지는비법간장소스,1154.0618557,
13A00808,소불고기소스-H,1846.8468468,
13A00815,쭈부다대기,4900,
13A00822,부대찌개육수T,1188.5895404,
13A00824,신당동떡볶이소스,1275,
13A00835,닭갈비양념D,2530,
13A00838,순대볶음육수T,1738.4868421,
13A00853,물회용육수350g,949.07677357,
13A00854,물회용육수500g,974.57489879,
13A00857,매콤한대파소스,240,
13A00877,팔도만능비빔장,1879.6440678,
13A00881,안동찜닭양념210g/신(별미),774.12328767,
13A00893,닭갈비양념S 10kg,2940,
13A00897,감자탕육수-T,1450,
13A00902,수원왕갈비식소스J,2625,
13A00910,팔도만능비빔장(수출용),2030.0666667,
13A00914,김치베이스소스,2050,
13A00922,샘표불고기소스500g,1050.4482759,
13A00925,샘표갈비소스500g,1254,
13A00926,팔도만능비빔장3kg,10784.4,
13A00948,김민교의사와디밥특제소스(195g),1070,
13A00950,비빔밥용고추장소스,1256.0789474,
13A00962,부대찌개육수,892.30769231,
13A00981,진미채양념,1023.6,
13A00984,(20년)물회용육수350g,950,
13A00987,(20년)물회용육수1.5kg,1866.6666667,
13A00991,소불고기소스H,980,
13A01010,명인냉쫄소스,3551.5972222,
13A01012,닭갈비소스,3647.6842105,
13A01035,부대찌개용소스,5409.5759424,
13A01042,오뎅소스-R,3377.8967538,
13A01043,오뎅소스-R(자사),3627.2727273,
13A01054,샘표갈비소스540g-미국,1622.2352941,
13A01067,고추장치킨소스325g,1264.5901639,
13A01068,간장치킨소스325g,1155.7894737,
13A01069,샘표핫갈비소스540g-미국/6개입,1750,
13A01070,샘표불고기소스540g-미국/6개입,1600,
13A01072,명인쫄면소스(2kg),3576.7105263,
13A01089,샘표불고기양념300g(수출용),781.52941176,
13A01094,간장볶음소스,1200,
13A01095,속초닭강정소스(샘표),1151.0714286,
13A01107,김치삼각밥용 볶음T,0,
13A01108,밀푀유나베육수T,1839.7476341,
13A01129,샘표불고기양념 900g(수출용-캐나다)12개입,1580.25,
13A01136,팔도비빔장시그니처380g 2개입,4260,
13A02006,스마트이팅식이섬유소갈비양념,1646.4197531,
13A02008,스마트이팅식이섬유돼지갈비양념,1671,
13B00018,자몽오렌지칵테일베이스,3817.2716628,
13B00043,오렌지생맥주베이스1kg,3493.6090226,
13B00047,흑초차베이스,1918.3333333,
13B00049,비타키위칵테일베이스,3874.7572816,
13B00050,비타복분자딸기칵테일베이스,3888.358209,
13B00056,짚쌩비타파인애플베이스,3665.7824934,
13B00057,짚쌩뉴비타복분자베이스,10524.80315,
13B00059,감귤칵테일베이스,4099.5918367,
13B00064,모히토칵테일베이스,3562.1052632,
13B00084,모히토칵테일베이스-2,3346.3261649,
13B00085,생과일복분자딸기베이스,5090.8701854,
13B00121,카페베네프라페노믹스,8037.1428571,
13B00126,코코넛베이스,6454.130137,
13B00129,깔라만시,3229.9426621,
13B00131,떼루와망고베이스,7491.3793103,
13B01004,키위쿨라타,4270.1388889,
13B01007,애플민트향에이드,2390.5329154,
13B01009,메론에이드,3137.3333333,
13B02000,망고블라스트,7490,
13C00001,신세기짜장소스,2914.2857143,
13C00002,흑마늘탕수육소스,2781.6326531,
13C00014,탕수소스-이랜드,1925.9622642,
13C00015,양장피소스T,389.52264382,
13C00019,염지용소스,4205.8278146,
13C00031,노브랜드짜장덮밥소스/14일에이징출고,,
13C01036,바다향굴소스,7207.2421827,
