고객번호,물품대분류,두번째구매까지기간
201903010820059,화장품,188
201903010820060,주방용품,23
201903010820062,아이_생활용품,0
201903010820063,주방용품,254
201903010820064,2단계,0
201903010820065,주방용품,17
201903010820071,생리대,29
201903010820075,티슈,15
201903010820077,주방용품,98
201903010820079,티슈,191
201903010820085,이벤트,248
201903010820086,티슈,220
201903010820088,3단계,245
201903010820089,수유용품,0
201903010820093,마스크,33
201903010820094,어른_생활용품,168
201903010820098,마스크,28
201903010820099,티슈,40
201903010820100,수유용품,150
201903010820102,티슈,220
201903010820103,티슈,85
201903010820104,티슈,0
201903010820107,티슈,404
201903010820109,마스크,161
201903010820110,주방용품,140
201903010820115,주방용품,0
201903010820118,티슈,262
201903010820119,아이_생활용품,0
201903010820126,티슈,173
201903010820131,마스크,64
201903010820133,이벤트,0
201903010820140,마스크,227
201903010820141,주방용품,1
201903010820142,생리대,260
201903010820145,티슈,124
201903010820154,생리대,0
201903010820168,티슈,91
201903010820170,티슈,36
201903010820174,생리대,206
201903010820176,마스크,55
201903010820180,티슈,0
201903010820182,티슈,212
201903010820187,티슈,19
201903010820193,수유용품,49
201903010820195,생리대,0
201903010820198,어른_생활용품,17
201903010820201,티슈,167
201903010820204,이벤트,58
201903010820206,생리대,0
201903010820207,주방용품,207
201903010820209,아이_생활용품,276
201903010820216,생리대,344
201903010820219,생리대,28
201903010820220,티슈,101
201903010820222,생리대,15
201903010820224,주방용품,298
201903010820225,생리대,156
201903010820228,티슈,159
201903010820234,생리대,23
201903010820236,이벤트,0
201903010820242,화장품,15
201903010820244,티슈,157
201903010820245,생리대,3
201903010820247,청결용품,206
201903010820252,티슈,264
201903010820253,티슈,31
201903010820254,티슈,78
201903010820262,생리대,56
201903010820263,티슈,108
201903010820265,이벤트,6
201903010820267,티슈,156
201903010820269,티슈,0
201903010820270,이벤트,17
201903010820272,생리대,30
201903010820274,티슈,23
201903010820277,주방용품,94
201903010820279,생리대,0
201903010820282,장난감,127
201903010820285,티슈,30
201903010820286,생리대,101
201903010820290,화장품,6
201903010820291,티슈,176
201903010820295,티슈,30
201903010820296,주방용품,120
201903010820298,주방용품,0
201903010820300,생리대,21
201903010820303,3단계,110
201903010820307,주방용품,32
201903010820309,티슈,205
201903010820310,티슈,28
201903010820312,티슈,10
201903010820315,4단계,75
201903010820316,생리대,57
201903010820320,생리대,158
201903010820323,생리대,221
201903010820324,주방용품,64
201903010820325,티슈,2
201903010820327,티슈,31
201903010820334,마스크,191
201903010820338,생리대,0
201903010820341,티슈,9
201903010820342,마스크,260
201903010820344,청결용품,136
201903010820346,마스크,221
201903010820348,티슈,32
201903010820352,주방용품,12
201903010820355,티슈,223
201903010820356,생리대,22
201903010820357,2단계,78
201903010820363,티슈,33
201903010820365,티슈,57
201903010820366,티슈,0
201903010820367,티슈,222
201903010820369,티슈,0
201903010820372,이벤트,107
201903010820373,어른_생활용품,16
201903010820378,주방용품,86
201903010820382,화장품,6
201903010820384,주방용품,43
201903010820385,마스크,20
201903010820386,티슈,2
201903010820392,생리대,23
201903010820394,티슈,6
201903010820396,생리대,43
201903010820397,생리대,49
201903010820399,화장품,12
201903010820400,주방용품,10
201903010820401,어른_생활용품,252
201903010820412,생리대,23
201903010820417,생리대,0
201903010820418,이벤트,47
201903010820419,티슈,2
201903010820421,주방용품,207
201903010820424,티슈,4
201903010820426,티슈,223
201903010820435,티슈,278
201903010820436,티슈,57
201903010820437,티슈,13
201903010820448,주방용품,82
201903010820450,티슈,16
201903010820452,수유용품,0
201903010820455,티슈,207
201903010820458,주방용품,76
201903010820461,티슈,1
201903010820462,티슈,29
201903010820463,티슈,82
201903010820465,마스크,43
201903010820469,이벤트,122
201903010820470,주방용품,87
201903010820473,티슈,11
201903010820478,생리대,0
201903010820479,주방용품,264
201903010820480,티슈,194
201903010820482,주방용품,102
201903010820484,생리대,0
201903010820486,티슈,161
201903010820492,티슈,15
201903010820495,이벤트,82
201903010820503,티슈,27
201903010820504,티슈,0
201903010820507,마스크,19
201903010820511,청결용품,11
201903010820513,화장품,120
201903010820519,2단계,54
201903010820522,티슈,381
201903010820523,티슈,12
201903010820534,생리대,461
201903010820536,어른_생활용품,33
201903010820537,마스크,163
201903010820543,티슈,31
201903010820544,티슈,129
201903010820546,생리대,115
201903010820550,이벤트,153
201903010820551,마스크,150
201903010820553,생리대,123
201903010820554,마스크,123
201903010820555,주방용품,381
201903010820556,생리대,31
201903010820561,이벤트,124
201903010820562,생리대,93
201903010820566,티슈,6
201903010820567,티슈,11
201903010820570,티슈,0
201903010820577,2단계,0
201903010820579,티슈,32
201903010820580,티슈,249
201903010820584,주방용품,2
201903010820587,생리대,0
201903010820590,주방용품,85
201903010820593,청결용품,22
201903010820595,티슈,85
201903010820597,마스크,16
201903010820599,생리대,31
201903010820602,티슈,15
201903010820604,티슈,25
201903010820605,마스크,154
201903010820609,생리대,51
201903010820610,생리대,62
201903010820612,티슈,207
201903010820614,청결용품,0
201903010820615,주방용품,219
201903010820617,티슈,3
201903010820623,어른_생활용품,16
201903010820625,티슈,101
201903010820627,이벤트,54
201903010820631,주방용품,174
201903010820634,생리대,46
201903010820637,청결용품,2
201903010820643,청결용품,24
201903010820645,티슈,205
201903010820653,생리대,0
201903010820655,생리대,120
201903010820657,티슈,174
201903010820658,생리대,20
201903010820659,티슈,253
201903010820660,티슈,332
201903010820666,주방용품,93
201903010820672,생리대,105
201903010820673,청결용품,85
201903010820674,생리대,7
201903010820676,티슈,158
201903010820678,생리대,0
201903010820682,생리대,91
201903010820685,청결용품,38
201903010820687,티슈,86
201903010820688,주방용품,0
201903010820694,티슈,2
201903010820699,티슈,14
201903010820704,화장품,110
201903010820712,티슈,213
201903010820715,생리대,121
201903010820718,생리대,8
201903010820719,화장품,18
201903010820720,음식,29
201903010820723,화장품,262
201903010820724,청결용품,123
201903010820728,주방용품,207
201903010820732,티슈,93
201903010820734,주방용품,25
201903010820736,생리대,0
201903010820740,어른_생활용품,61
201903010820741,티슈,27
201903010820744,수유용품,3
201903010820745,이벤트,60
201903010820748,티슈,21
201903010820751,티슈,59
201903010820752,주방용품,85
201903010820755,티슈,46
201903010820756,티슈,205
201903010820766,티슈,152
201903010820767,티슈,120
201903010820769,생리대,16
201903010820772,티슈,19
201903010820774,화장품,117
201903010820775,티슈,31
201903010820776,주방용품,244
201903010820777,2단계,37
201903010820778,수유용품,145
201903010820782,화장품,12
201903010820787,티슈,79
201903010820788,마스크,27
201903010820792,티슈,277
201903010820795,티슈,86
201903010820797,어른_생활용품,26
201903010820808,주방용품,300
201903010820809,수유용품,91
201903010820813,티슈,277
201903010820816,생리대,49
201903010820819,티슈,235
201903010820820,티슈,283
201903010820825,티슈,143
201903010820827,마스크,62
201903010820828,티슈,119
201903010820829,이벤트,18
201903010820830,어른_생활용품,248
201903010820832,화장품,117
201903010820833,주방용품,20
201903010820835,생리대,30
201903010820841,수유용품,8
201903010820842,생리대,0
201903010820843,티슈,31
201903010820845,생리대,0
201903010820849,티슈,94
201903010820851,주방용품,59
201903010820853,티슈,112
201903010820858,마스크,276
201903010820859,화장품,32
201903010820860,어른_생활용품,327
201903010820863,티슈,30
201903010820870,티슈,105
201903010820874,생리대,191
201903010820875,티슈,152
201903010820877,화장품,14
201903010820879,주방용품,37
201903010820881,생리대,31
201903010820885,티슈,107
201903010820890,청결용품,4
201903010820891,마스크,0
201903010820892,티슈,324
201903010820894,마스크,0
201903010820902,생리대,5
201903010820905,2단계,3
201903010820906,수유용품,127
201903010820908,어른_생활용품,101
201903010820909,티슈,441
201903010820911,수유용품,8
201903010820914,티슈,36
201903010820915,4단계,113
201903010820916,2단계,2
201903010820918,주방용품,93
201903010820919,어른_생활용품,50
201903010820924,생리대,195
201903010820926,생리대,15
201903010820929,아이_생활용품,46
201903010820933,이벤트,17
201903010820940,티슈,221
201903020820955,이벤트,8
201903020820958,티슈,0
201903020820959,티슈,24
201903020820973,이벤트,332
201903020820974,티슈,38
201903020820976,티슈,37
201903020820977,티슈,135
201903020820987,주방용품,182
201903020820993,생리대,107
201903020820996,생리대,147
201903020821006,이벤트,103
201903020821009,생리대,0
201903020821015,티슈,9
201903020821017,이벤트,0
201903020821019,이벤트,103
201903020821021,아이_생활용품,326
201903020821043,주방용품,164
201903020821046,티슈,275
201903020821050,청결용품,10
201903020821051,수유용품,78
201903020821052,주방용품,220
201903020821053,티슈,6
201903020821057,티슈,23
201903020821058,티슈,4
201903020821060,티슈,3
201903020821061,이벤트,120
201903020821064,생리대,310
201903020821065,생리대,124
201903020821066,아이_생활용품,144
201903020821067,이벤트,43
201903020821078,이벤트,228
201903020821084,마스크,6
201903020821097,주방용품,329
201903020821100,3단계,60
201903020821104,이벤트,33
201903020821106,수유용품,0
201903020821123,생리대,0
201903020821136,수유용품,50
201903020821141,티슈,260
201903020821145,이벤트,19
201903020821158,1단계,79
201903020821170,3단계,31
201903020821173,생리대,101
201903020821174,주방용품,104
201903020821175,수유용품,17
201903020821189,티슈,184
201903020821193,2단계,16
201903020821199,어른_생활용품,0
201903020821206,5단계,46
201903020821215,티슈,0
201903020821216,주방용품,8
201903020821223,이벤트,0
201903020821231,주방용품,31
201903020821232,이벤트,143
201903020821237,생리대,0
201903020821242,수유용품,12
201903020821248,수유용품,214
201903020821255,티슈,96
201903020821256,생리대,70
201903020821259,이벤트,38
201903020821269,생리대,106
201903020821271,생리대,0
201903020821284,2단계,30
201903020821286,티슈,33
201903020821289,2단계,18
201903020821294,3단계,73
201903020821296,어른_생활용품,476
201903020821303,6단계,61
201903020821307,수유용품,79
201903020821320,생리대,0
201903020821326,생리대,246
201903020821328,아이_생활용품,14
201903020821337,이벤트,222
201903020821352,티슈,57
201903020821353,3단계,21
201903020821367,수유용품,0
201903020821372,어른_생활용품,35
201903020821373,이벤트,17
201903020821374,어른_생활용품,35
201903020821384,생리대,5
201903020821390,티슈,121
201903020821391,4단계,62
201903020821393,마스크,22
201903020821395,티슈,42
201903020821400,청결용품,305
201903020821414,3단계,19
201903020821416,이벤트,31
201903020821419,티슈,23
201903020821425,수유용품,54
201903020821434,이벤트,2
201903020821439,생리대,9
201903020821440,티슈,32
201903020821449,5단계,101
201903020821461,마스크,205
201903020821464,3단계,111
201903020821465,주방용품,71
201903020821474,생리대,135
201903020821483,아이_생활용품,211
201903020821487,이벤트,185
201903020821489,이벤트,40
201903020821490,마스크,0
201903020821493,티슈,48
201903020821496,생리대,8
201903020821499,3단계,32
201903020821501,생리대,91
201903020821508,이벤트,22
201903020821509,티슈,119
201903020821512,이벤트,45
201903020821515,티슈,73
201903020821522,티슈,128
201903020821535,청결용품,437
201903020821536,수유용품,21
201903020821545,수유용품,7
201903020821559,이벤트,0
201903020821563,생리대,175
201903020821587,수유용품,67
201903020821591,생리대,244
201903020821592,생리대,9
201903020821597,이벤트,133
201903020821611,수유용품,7
201903020821613,티슈,0
201903020821624,티슈,0
201903020821627,아이_생활용품,0
201903020821640,주방용품,279
201903020821643,티슈,31
201903020821645,이벤트,14
201903020821671,어른_생활용품,163
201903020821676,주방용품,81
201903020821679,티슈,19
201903020821689,생리대,18
201903020821694,이벤트,10
201903020821703,생리대,0
201903020821717,청결용품,156
201903020821727,1단계,11
201903020821733,생리대,0
201903020821736,3단계,24
201903020821737,수유용품,1
201903020821752,티슈,2
201903020821753,3단계,14
201903020821756,티슈,156
201903020821759,수유용품,0
201903020821761,티슈,243
201903020821765,어른_생활용품,2
201903020821771,티슈,201
201903020821772,화장품,105
201903020821775,4단계,114
201903020821776,티슈,492
201903020821779,수유용품,17
201903020821788,주방용품,108
201903020821806,2단계,269
201903020821808,2단계,0
201903020821818,청결용품,0
201903020821822,주방용품,30
201903020821826,티슈,0
201903020821830,마스크,373
201903020821831,수유용품,1
201903020821837,이벤트,7
201903020821839,2단계,58
201903020821841,티슈,61
201903020821871,수유용품,80
201903020821884,수유용품,63
201903020821889,2단계,158
201903020821893,이벤트,176
201903020821897,이벤트,244
201903020821907,주방용품,93
201903020821909,수유용품,70
201903020821914,티슈,9
201903020821915,주방용품,286
201903020821916,4단계,453
201903020821919,주방용품,277
201903020821930,이벤트,45
201903020821935,수유용품,38
201903020821940,주방용품,6
201903020821943,아이_생활용품,32
201903020821945,이벤트,111
201903020821953,수유용품,1
201903020821968,마스크,6
201903020821972,수유용품,299
201903020821978,이벤트,98
201903020821985,주방용품,158
201903020821989,마스크,3
201903020821994,4단계,23
201903020822000,생리대,252
201903020822003,3단계,232
201903020822006,3단계,22
201903020822010,이벤트,93
201903020822015,티슈,30
201903020822017,이벤트,9
201903020822021,마스크,22
201903020822022,티슈,121
201903020822054,티슈,219
201903020822055,생리대,366
201903020822056,티슈,116
201903020822065,수유용품,76
201903020822071,2단계,27
201903020822074,마스크,159
201903020822084,주방용품,0
201903020822086,생리대,29
201903020822093,생리대,41
201903020822096,수유용품,60
201903020822097,수유용품,56
201903020822105,어른_생활용품,17
201903020822111,티슈,247
201903020822123,화장품,33
201903020822126,이벤트,28
201903020822128,이벤트,68
201903020822130,티슈,94
201903020822131,수유용품,59
201903020822133,생리대,241
201903020822139,주방용품,193
201903020822144,수유용품,32
201903020822147,티슈,7
201903020822150,4단계,35
201903020822156,주방용품,182
201903020822164,주방용품,120
201903020822172,수유용품,8
201903020822174,이벤트,126
201903020822183,3단계,54
201903020822187,어른_생활용품,30
201903020822190,4단계,7
201903020822192,티슈,119
201903020822198,수유용품,42
201903020822205,이벤트,174
201903020822233,수유용품,0
201903020822241,주방용품,256
201903020822248,생리대,31
201903020822251,티슈,378
201903020822255,청결용품,238
201903020822259,생리대,34
201903020822262,생리대,216
201903020822263,티슈,0
201903020822267,화장품,278
201903020822268,이벤트,0
201903020822269,마스크,208
201903020822270,티슈,8
201903020822273,3단계,53
201903020822274,음식,1
201903020822276,수유용품,4
201903020822278,마스크,6
201903020822284,마스크,0
201903020822286,3단계,203
201903020822291,화장품,30
201903020822292,티슈,119
201903020822301,주방용품,28
201903020822305,이벤트,21
201903020822306,티슈,17
201903020822310,티슈,7
201903030822314,수유용품,0
201903030822321,수유용품,106
201903030822322,티슈,56
201903030822329,3단계,11
201903030822337,주방용품,85
201903030822339,주방용품,11
201903030822349,이벤트,165
201903030822350,이벤트,302
201903030822354,이벤트,0
201903030822355,이벤트,56
201903030822359,1단계,109
201903030822360,이벤트,0
201903030822363,수유용품,17
201903030822365,티슈,302
201903030822369,청결용품,0
201903030822370,이벤트,46
201903030822385,이벤트,115
201903030822390,이벤트,0
201903030822392,청결용품,18
201903030822394,이벤트,0
201903030822396,3단계,33
201903030822399,이벤트,2
201903030822400,이벤트,114
201903030822405,2단계,19
201903030822423,수유용품,0
201903030822444,2단계,47
201903030822465,수유용품,0
201903030822474,아이_생활용품,139
201903030822493,3단계,48
201903030822499,티슈,30
201903030822503,생리대,70
201903030822524,3단계,0
201903030822525,이벤트,120
201903030822538,어른_생활용품,128
201903030822544,티슈,133
201903030822546,3단계,195
201903030822552,이벤트,35
201903030822558,이벤트,22
201903030822567,아이_생활용품,61
201903030822588,화장품,0
201903030822590,3단계,94
201903030822595,2단계,49
201903030822596,생리대,220
201903030822616,1단계,0
201903030822628,4단계,20
201903030822636,수유용품,0
201903030822670,이벤트,0
201903030822687,티슈,29
201903030822698,수유용품,221
201903030822701,아이_생활용품,122
201903030822711,생리대,0
201903030822725,이벤트,134
201903030822732,청결용품,0
201903030822739,티슈,0
201903030822741,화장품,30
201903030822743,이벤트,0
201903030822748,이벤트,29
201903030822753,5단계,346
201903030822770,수유용품,9
201903030822776,2단계,22
201903030822778,주방용품,67
201903030822779,1단계,0
201903030822782,이벤트,26
201903030822789,아이_생활용품,22
201903030822792,생리대,133
201903030822814,주방용품,0
201903030822821,마스크,0
201903030822822,화장품,28
201903030822824,생리대,2
201903030822826,아이_생활용품,0
201903030822832,3단계,41
201903030822833,이벤트,23
201903030822834,청결용품,7
201903030822841,이벤트,106
201903030822846,주방용품,50
201903030822849,이벤트,1
201903030822864,수유용품,41
201903030822867,생리대,0
201903030822868,이벤트,89
201903030822873,생리대,126
201903030822882,5단계,42
201903030822886,2단계,24
201903030822890,수유용품,274
201903030822895,수유용품,103
201903030822896,티슈,117
201903030822897,수유용품,37
201903030822898,4단계,58
201903030822903,수유용품,1
201903030822904,화장품,7
201903030822906,티슈,30
201903030822911,수유용품,117
201903030822916,수유용품,77
201903030822918,수유용품,0
201903030822924,이벤트,32
201903030822940,티슈,7
201903030822943,3단계,124
201903030822953,생리대,109
201903030822960,티슈,179
201903030822962,이벤트,207
201903030822975,티슈,218
201903030822978,생리대,445
201903030822979,수유용품,40
201903030822988,주방용품,279
201903030822990,이벤트,54
201903030822991,아이_생활용품,210
201903030823003,이벤트,249
201903030823006,청결용품,117
201903030823007,티슈,191
201903030823017,티슈,80
201903030823018,청결용품,0
201903030823020,티슈,44
201903030823029,수유용품,123
201903030823033,3단계,21
201903030823035,수유용품,16
201903030823045,주방용품,4
201903030823054,수유용품,58
201903030823056,이벤트,31
201903030823066,주방용품,27
201903030823073,생리대,0
201903030823079,생리대,86
201903030823080,2단계,91
201903030823086,수유용품,0
201903030823095,어른_생활용품,38
201903030823097,1단계,135
201903030823099,2단계,351
201903030823101,이벤트,32
201903030823102,이벤트,107
201903030823105,티슈,57
201903030823112,수유용품,38
201903030823122,2단계,26
201903030823134,수유용품,24
201903030823153,생리대,12
201903030823156,2단계,73
201903030823162,생리대,30
201903030823164,수유용품,0
201903030823165,어른_생활용품,76
201903030823168,2단계,277
201903030823179,아이_생활용품,25
201903030823181,이벤트,28
201903030823184,이벤트,59
201903030823195,3단계,104
201903030823203,3단계,65
201903030823207,수유용품,9
201903030823208,수유용품,134
201903030823213,티슈,19
201903030823227,수유용품,19
201903030823245,2단계,248
201903030823264,이벤트,0
201903030823274,2단계,71
201903030823276,이벤트,0
201903030823279,이벤트,157
201903030823281,이벤트,31
201903030823282,티슈,154
201903030823286,이벤트,21
201903030823288,생리대,84
201903030823302,수유용품,20
201903030823303,수유용품,39
201903030823320,이벤트,0
201903030823337,티슈,53
201903030823339,2단계,233
201903030823356,수유용품,0
201903030823368,티슈,30
201903030823377,티슈,161
201903030823389,이벤트,11
201903030823397,청결용품,0
201903030823406,티슈,49
201903030823410,4단계,60
201903030823422,티슈,382
201903040823437,주방용품,60
201903040823448,화장품,99
201903040823449,주방용품,166
201903040823452,수유용품,141
201903040823467,1단계,68
201903040823475,3단계,20
201903040823476,1단계,0
201903040823477,청결용품,341
201903040823480,2단계,238
201903040823482,2단계,66
201903040823484,2단계,104
201903040823499,5단계,10
201903040823503,주방용품,149
201903040823506,5단계,0
201903040823509,티슈,24
201903040823510,이벤트,155
201903040823522,이벤트,396
201903040823527,2단계,17
201903040823535,수유용품,35
201903040823551,티슈,61
201903040823553,주방용품,0
201903040823554,수유용품,60
201903040823557,2단계,125
201903040823565,수유용품,17
201903040823566,수유용품,0
201903040823572,이벤트,33
201903040823574,화장품,45
201903040823576,수유용품,0
201903040823619,이벤트,177
201903040823627,이벤트,18
201903040823647,이벤트,241
201903040823657,이벤트,63
201903040823661,티슈,0
201903040823667,3단계,84
201903040823679,2단계,49
201903040823684,5단계,53
201903040823689,이벤트,198
201903040823695,2단계,96
201903040823696,주방용품,162
201903040823703,수유용품,19
201903040823710,이벤트,0
201903040823731,생리대,0
201903040823734,수유용품,89
201903040823745,티슈,1
201903040823792,티슈,135
201903040823797,수유용품,14
201903040823805,3단계,152
201903040823816,생리대,0
201903040823823,3단계,40
201903040823830,이벤트,138
201903040823837,티슈,0
201903040823853,주방용품,80
201903040823865,2단계,57
201903040823869,4단계,24
201903040823873,티슈,53
201903040823879,2단계,35
201903040823893,티슈,20
201903040823895,이벤트,14
201903040823912,2단계,179
201903040823937,이벤트,58
201903040823945,이벤트,45
201903040823948,3단계,32
201903040823949,청결용품,216
201903040823969,티슈,14
201903040823988,수유용품,151
201903040824011,3단계,57
201903040824037,수유용품,61
201903040824038,6단계,62
201903040824039,티슈,0
201903040824045,수유용품,42
201903040824059,수유용품,212
201903040824065,수유용품,101
201903040824071,3단계,45
201903040824076,생리대,0
201903040824081,생리대,0
201903040824084,주방용품,0
201903040824089,3단계,78
201903040824100,이벤트,137
201903040824101,3단계,27
201903040824110,수유용품,0
201903040824118,티슈,381
201903040824120,아이_생활용품,0
201903040824122,티슈,86
201903040824125,마스크,448
201903040824126,마스크,0
201903040824130,2단계,28
201903040824147,이벤트,139
201903040824152,티슈,229
201903040824161,이벤트,0
201903040824171,2단계,108
201903040824180,수유용품,106
201903040824196,2단계,19
201903040824203,2단계,115
201903040824210,이벤트,99
201903040824211,아이_생활용품,38
201903040824216,2단계,33
201903040824221,이벤트,456
201903040824258,3단계,90
201903040824267,5단계,77
201903040824291,3단계,29
201903040824298,생리대,276
201903040824300,4단계,56
201903040824330,4단계,1
201903040824337,생리대,6
201903040824338,수유용품,8
201903040824344,주방용품,124
201903040824374,1단계,49
201903040824385,생리대,31
201903040824395,2단계,17
201903040824404,5단계,67
201903040824416,이벤트,5
201903040824427,수유용품,0
201903040824429,이벤트,370
201903040824437,주방용품,0
201903040824443,아이_생활용품,187
201903040824457,생리대,0
201903040824458,생리대,132
201903040824459,마스크,11
201903040824473,이벤트,193
201903040824497,티슈,15
201903040824504,주방용품,332
201903040824525,생리대,30
201903040824526,아이_생활용품,56
201903040824539,이벤트,23
201903040824571,생리대,89
201903040824573,이벤트,25
201903040824586,마스크,0
201903040824604,이벤트,173
201903040824605,2단계,1
201903040824606,2단계,184
201903040824608,티슈,196
201903040824611,2단계,15
201903040824625,이벤트,0
201903040824628,티슈,27
201903040824632,3단계,18
201903040824634,수유용품,88
201903050824645,이벤트,0
201903050824661,4단계,290
201903050824665,2단계,108
201903050824681,티슈,347
201903050824698,아이_생활용품,92
201903050824699,수유용품,0
201903050824715,생리대,0
201903050824723,티슈,0
201903050824724,수유용품,0
201903050824729,청결용품,262
201903050824742,생리대,219
201903050824762,이벤트,45
201903050824776,3단계,68
201903050824783,4단계,2
201903050824785,수유용품,412
201903050824795,이벤트,2
201903050824800,6단계,109
201903050824803,수유용품,0
201903050824807,2단계,21
201903050824825,이벤트,20
201903050824838,이벤트,18
201903050824841,2단계,42
201903050824848,수유용품,0
201903050824875,1단계,222
201903050824880,생리대,0
201903050824895,수유용품,42
201903050824896,수유용품,0
201903050824918,2단계,32
201903050824973,이벤트,0
201903050824977,이벤트,121
201903050824984,4단계,52
201903050824994,생리대,371
201903050825016,생리대,43
201903050825018,수유용품,15
201903050825031,티슈,57
201903050825048,생리대,0
201903050825059,주방용품,8
201903050825063,5단계,2
201903050825093,이벤트,12
201903050825097,티슈,43
201903050825101,아이_생활용품,33
201903050825105,5단계,257
201903050825108,수유용품,0
201903050825118,이벤트,98
201903050825123,이벤트,0
201903050825128,이벤트,0
201903050825145,수유용품,0
201903050825156,이벤트,0
201903050825164,이벤트,300
201903050825190,4단계,308
201903050825195,티슈,4
201903050825200,이벤트,0
201903050825206,2단계,345
201903050825216,이벤트,0
201903050825220,수유용품,67
201903050825221,수유용품,0
201903050825231,수유용품,221
201903050825232,티슈,0
201903050825244,2단계,185
201903050825248,티슈,11
201903050825252,3단계,271
201903050825254,이벤트,0
201903050825258,이벤트,0
201903050825262,4단계,64
201903050825266,이벤트,139
201903050825286,생리대,98
201903050825290,수유용품,0
201903050825292,생리대,112
201903050825300,3단계,13
201903050825302,2단계,50
201903050825303,수유용품,0
201903050825305,티슈,27
201903050825309,주방용품,277
201903050825310,이벤트,21
201903050825311,청결용품,122
201903050825331,이벤트,54
201903050825341,어른_생활용품,84
201903050825364,수유용품,37
201903050825389,청결용품,0
201903050825396,이벤트,172
201903050825399,이벤트,45
201903050825402,이벤트,145
201903050825417,주방용품,0
201903050825422,수유용품,0
201903050825429,청결용품,0
201903050825432,수유용품,0
201903050825433,티슈,57
201903050825446,3단계,27
201903050825448,음식,104
201903050825454,2단계,2
201903050825455,수유용품,0
201903050825457,생리대,138
201903050825471,이벤트,0
201903050825477,2단계,77
201903050825482,이벤트,76
201903050825493,수유용품,0
201903050825504,아이_생활용품,30
201903050825520,이벤트,96
201903050825524,주방용품,144
201903050825527,3단계,17
201903050825537,화장품,27
201903050825538,이벤트,0
201903050825562,2단계,165
201903050825572,티슈,135
201903050825583,주방용품,0
201903050825585,이벤트,143
201903050825609,티슈,50
201903050825626,4단계,27
201903050825635,생리대,25
201903050825638,이벤트,7
201903050825645,생리대,5
201903050825650,생리대,117
201903050825654,티슈,51
201903050825656,아이_생활용품,133
201903050825674,이벤트,65
201903050825681,수유용품,109
201903050825688,아이_생활용품,59
201903050825692,3단계,61
201903050825708,2단계,44
201903050825720,2단계,24
201903050825737,4단계,6
201903050825738,티슈,163
201903050825741,수유용품,70
201903050825743,3단계,19
201903050825746,2단계,27
201903050825747,이벤트,281
201903050825758,아이_생활용품,20
201903050825783,이벤트,10
201903060825771,4단계,19
201903060825775,화장품,0
201903060825790,마스크,0
201903060825795,생리대,6
201903060825801,이벤트,228
201903060825810,생리대,0
201903060825813,어른_생활용품,22
201903060825816,1단계,175
201903060825831,주방용품,290
201903060825869,이벤트,167
201903060825911,주방용품,73
201903060825918,5단계,21
201903060825921,마스크,31
201903060825931,마스크,223
201903060825937,어른_생활용품,20
201903060825940,티슈,164
201903060825941,마스크,229
201903060825956,수유용품,0
201903060825957,이벤트,13
201903060825968,주방용품,37
201903060825969,2단계,35
201903060825979,수유용품,67
201903060825980,이벤트,0
201903060825983,3단계,147
201903060825988,이벤트,100
201903060825993,어른_생활용품,189
201903060826002,주방용품,14
201903060826004,수유용품,24
201903060826009,수유용품,277
201903060826019,수유용품,62
201903060826023,이벤트,248
201903060826025,생리대,0
201903060826026,수유용품,13
201903060826030,이벤트,16
201903060826047,2단계,98
201903060826060,티슈,58
201903060826061,수유용품,52
201903060826096,수유용품,67
201903060826100,3단계,85
201903060826139,이벤트,0
201903060826169,이벤트,0
201903060826177,티슈,166
201903060826206,6단계,39
201903060826207,주방용품,123
201903060826208,수유용품,0
201903060826213,마스크,30
201903060826214,청결용품,4
201903060826218,생리대,0
201903060826221,화장품,0
201903060826227,수유용품,244
201903060826233,티슈,22
201903060826235,2단계,40
201903060826261,생리대,144
201903060826264,수유용품,107
201903060826280,화장품,480
201903060826290,티슈,352
201903060826303,3단계,23
201903060826318,생리대,5
201903060826336,화장품,151
201903060826344,수유용품,201
201903060826378,이벤트,50
201903060826398,수유용품,287
201903060826403,티슈,131
201903060826409,수유용품,46
201903060826415,티슈,317
201903060826427,이벤트,0
201903060826438,티슈,0
201903060826442,생리대,0
201903060826443,마스크,6
201903060826448,티슈,284
201903060826454,마스크,0
201903060826462,2단계,87
201903060826480,이벤트,55
201903060826482,2단계,35
201903060826488,티슈,5
201903060826489,이벤트,15
201903060826492,2단계,222
201903060826505,마스크,381
201903060826510,마스크,30
201903060826516,티슈,155
201903060826517,청결용품,0
201903060826521,이벤트,42
201903060826527,티슈,211
201903060826536,주방용품,157
201903060826551,2단계,214
201903060826556,주방용품,29
201903060826559,주방용품,217
201903060826560,생리대,0
201903060826569,수유용품,0
201903060826573,마스크,200
201903060826581,이벤트,102
201903060826588,5단계,287
201903060826591,이벤트,44
201903060826594,티슈,9
201903060826596,마스크,467
201903060826601,수유용품,0
201903060826604,티슈,154
201903060826619,수유용품,0
201903060826630,아이_생활용품,48
201903060826631,아이_생활용품,4
201903060826635,아이_생활용품,161
201903060826652,1단계,0
201903060826658,티슈,424
201903060826667,3단계,88
201903060826671,주방용품,25
201903060826673,이벤트,1
201903060826675,티슈,0
201903060826682,3단계,32
201903060826686,티슈,34
201903060826688,수유용품,0
201903060826692,3단계,53
201903060826694,주방용품,87
201903060826707,이벤트,122
201903060826709,마스크,5
201903060826710,티슈,6
