,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4,frozenset({'수유용품'}),frozenset({'아이_생활용품'}),0.21947280930895274,0.07803372120636429,0.0345761101876039,0.15754165764985936,2.0188920278866638,0.017449830173611527,1.094376104368197
5,frozenset({'아이_생활용품'}),frozenset({'수유용품'}),0.07803372120636429,0.21947280930895274,0.0345761101876039,0.4430919050517347,2.0188920278866638,0.017449830173611527,1.4015368025195527
7,frozenset({'주방용품'}),frozenset({'티슈'}),0.10453573972928046,0.18356684872951792,0.03144146283543101,0.3007723761926397,1.6384896198540826,0.012252166513717931,1.1676214203679864
6,frozenset({'티슈'}),frozenset({'주방용품'}),0.18356684872951792,0.10453573972928046,0.03144146283543101,0.17128072445019404,1.6384896198540824,0.012252166513717931,1.0805399206825885
2,frozenset({'생리대'}),frozenset({'티슈'}),0.10995013061030634,0.18356684872951792,0.0323913559724531,0.2946004319654428,1.6048672949631042,0.012208156978920259,1.1574052328176154
3,frozenset({'티슈'}),frozenset({'생리대'}),0.18356684872951792,0.10995013061030634,0.0323913559724531,0.17645536869340234,1.6048672949631042,0.012208156978920259,1.0807548681090688
0,frozenset({'기저귀'}),frozenset({'아이_생활용품'}),0.35582996912847303,0.07803372120636429,0.03543101401092377,0.09957287773625201,1.2760237009962179,0.0076642774030832965,1.0239210436883959
1,frozenset({'아이_생활용품'}),frozenset({'기저귀'}),0.07803372120636429,0.35582996912847303,0.03543101401092377,0.4540474741326841,1.2760237009962179,0.0076642774030832965,1.1799011825216488
