,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4,frozenset({'수유용품'}),frozenset({'아이_생활용품'}),0.21578266494178525,0.07490297542043985,0.032082794307891335,0.14868105515587532,1.9849819626164356,0.01592003065959979,1.0866632654920467
5,frozenset({'아이_생활용품'}),frozenset({'수유용품'}),0.07490297542043985,0.21578266494178525,0.032082794307891335,0.4283246977547496,1.9849819626164353,0.01592003065959979,1.371788027186424
3,frozenset({'티슈'}),frozenset({'생리대'}),0.17658473479948253,0.10866752910737387,0.03195342820181112,0.18095238095238095,1.6651927437641723,0.01276440139307046,1.0882547609735551
2,frozenset({'생리대'}),frozenset({'티슈'}),0.10866752910737387,0.17658473479948253,0.03195342820181112,0.294047619047619,1.665192743764172,0.01276440139307046,1.1663892458152354
0,frozenset({'기저귀'}),frozenset({'아이_생활용품'}),0.3426908150064683,0.07490297542043985,0.031047865459249677,0.09060022650056625,1.2095677907588551,0.005379303766009685,1.017261111710774
1,frozenset({'아이_생활용품'}),frozenset({'기저귀'}),0.07490297542043985,0.3426908150064683,0.031047865459249677,0.4145077720207254,1.2095677907588551,0.005379303766009685,1.1226608203871826
