,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4,frozenset({'티슈'}),frozenset({'주방용품'}),0.180913646597429,0.10472801220132182,0.031883215919819886,0.17623444399839422,1.6827822880817545,0.012936489331578718,1.086804347761456
5,frozenset({'주방용품'}),frozenset({'티슈'}),0.10472801220132182,0.180913646597429,0.031883215919819886,0.3044382801664355,1.6827822880817545,0.012936489331578718,1.177589752349459
2,frozenset({'생리대'}),frozenset({'티슈'}),0.10538165444113588,0.180913646597429,0.03064855835572663,0.29083390764989664,1.6075841326501112,0.011583578966310588,1.1549993185492038
3,frozenset({'티슈'}),frozenset({'생리대'}),0.180913646597429,0.10538165444113588,0.03064855835572663,0.16940987555198714,1.607584132650111,0.011583578966310588,1.0770876262866749
0,frozenset({'기저귀'}),frozenset({'아이_생활용품'}),0.35790543975597355,0.07146488488633888,0.031955842835354784,0.08928571428571429,1.249364837398374,0.006378171782999636,1.0195679695365691
1,frozenset({'아이_생활용품'}),frozenset({'기저귀'}),0.07146488488633888,0.35790543975597355,0.031955842835354784,0.44715447154471544,1.249364837398374,0.006378171782999636,1.1614357486766949
