,연락달,성공여부
0,1,0.13105984620528252
1,2,0.13128390596745027
2,3,0.15682766845557544
3,4,0.1357636706473916
4,5,0.12512613521695257
5,6,0.1024117441454037
6,7,0.0818242790073776
7,8,0.07929203539823008
8,9,0.09685580050596314
9,10,0.08100654946570149
10,11,0.08975240715268226
11,12,0.09408142319534725
