AreaId,Area,dateObs,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hourRainfall,RainfallAmount,HumidAvg,SnowloadMax,hhmiSnowloadMax
108,서울,2020-03-03,4.8,0.3,441,10.5,1329,,,57,,
108,서울,2020-03-04,2.2,-1.3,2351,4.6,1046,1.5,0,53.4,,
108,서울,2020-03-05,1.4,-2.8,654,6.3,1527,,,47.5,,
108,서울,2020-03-06,3.7,-2.5,718,10.1,1621,,,46.8,,
108,서울,2020-03-07,7,1.3,633,14.2,1442,,,39.5,,
108,서울,2020-03-08,9.3,2.3,723,16.9,1559,,,43.8,,
108,서울,2020-03-09,11.1,4.8,719,17.6,1423,,,37.6,,
108,서울,2020-03-10,6.4,3.2,2343,10.8,1,18.67,11.8,78.4,,
108,서울,2020-03-11,3.8,0,658,8.3,1454,,,41.8,,
108,서울,2020-03-12,6.8,0.2,638,13.3,1435,,,49.8,,
108,서울,2020-03-13,4.9,-0.1,2400,8.7,1427,2.25,0.5,41,,
108,서울,2020-03-14,3.6,-2.7,642,8.6,1440,,,48.1,,
108,서울,2020-03-15,4,0.2,2335,8.5,1327,,,48.3,,
108,서울,2020-03-16,3.6,-2.1,638,9.1,1510,,,42.4,,
108,서울,2020-03-17,6.6,3.1,46,12.3,1537,,,65.8,,
108,서울,2020-03-18,10,2.7,726,17,1550,,,45.8,,
108,서울,2020-03-19,9.1,5.8,2400,12.1,641,0.33,0,49,,
108,서울,2020-03-20,8.8,3.1,641,14,1421,,,39.6,,
108,서울,2020-03-21,12.8,7.9,107,19.5,1538,,,56.5,,
108,서울,2020-03-22,11,6.1,631,16.5,1402,,,37.5,,
108,서울,2020-03-23,10.6,5.4,516,17,1507,,,37.9,,
108,서울,2020-03-24,11.4,5.3,558,17.9,1444,,,35,,
108,서울,2020-03-25,12.5,6.1,644,19.2,1401,,,33.6,,
108,서울,2020-03-26,14.8,8.1,622,20.6,1330,4.92,1.8,53.8,,
108,서울,2020-03-27,11.9,6.7,2357,15.8,1512,5.92,2,56.4,,
108,서울,2020-03-28,7.7,4.5,622,12.8,1522,,,17.9,,
108,서울,2020-03-29,8.7,1.3,632,16.1,1520,,,30.6,,
108,서울,2020-03-30,10.2,4.3,658,16.9,1542,,,38.4,,
108,서울,2020-03-31,11.9,4.7,622,18.6,1401,,,34.5,,
