,고객번호,최근구매일,가입일,고객번호(가입일제외)
145,201901010750221,20200625,20190101,750221
146,201901010750223,20190331,20190101,750223
147,201901010750228,20190309,20190101,750228
148,201901010750230,20190103,20190101,750230
149,201901010750235,20190720,20190101,750235
150,201901010750238,20190226,20190101,750238
151,201901010750241,20200702,20190101,750241
152,201901010750246,20190101,20190101,750246
153,201901010750248,20190626,20190101,750248
154,201901010750255,20190102,20190101,750255
155,201901010750257,20200728,20190101,750257
156,201901010750258,20190223,20190101,750258
157,201901010750264,20190730,20190101,750264
158,201901010750267,20191112,20190101,750267
159,201901010750269,20190101,20190101,750269
160,201901010750270,20200701,20190101,750270
161,201901010750271,20190428,20190101,750271
162,201901010750275,20200719,20190101,750275
163,201901010750276,20190105,20190101,750276
164,201901010750277,20200227,20190101,750277
165,201901010750279,20190124,20190101,750279
166,201901010750280,20190330,20190101,750280
167,201901010750282,20190520,20190101,750282
168,201901010750284,20190227,20190101,750284
169,201901010750287,20190829,20190101,750287
170,201901010750295,20190502,20190101,750295
171,201901010750297,20190210,20190101,750297
172,201901010750298,20200805,20190101,750298
173,201901010750300,20200414,20190101,750300
174,201901010750305,20190102,20190101,750305
175,201901010750318,20200711,20190101,750318
176,201901010750320,20190104,20190101,750320
177,201901010750321,20190511,20190101,750321
178,201901010750324,20190804,20190101,750324
179,201901010750326,20200519,20190101,750326
180,201901010750327,20190102,20190101,750327
181,201901010750330,20190622,20190101,750330
182,201901010750331,20190126,20190101,750331
183,201901010750332,20200429,20190101,750332
184,201901010750333,20190102,20190101,750333
185,201901010750335,20190216,20190101,750335
186,201901010750338,20190718,20190101,750338
187,201901010750339,20200513,20190101,750339
188,201901010750349,20190306,20190101,750349
189,201901010750350,20190412,20190101,750350
190,201901010750354,20190531,20190101,750354
191,201901010750359,20200405,20190101,750359
192,201901010750360,20200316,20190101,750360
193,201901010750361,20200724,20190101,750361
194,201901010750366,20190930,20190101,750366
195,201901010750369,20200506,20190101,750369
196,201901010750374,20200226,20190101,750374
197,201901010750383,20191011,20190101,750383
198,201901010750384,20191217,20190101,750384
199,201901010750385,20190825,20190101,750385
200,201901010750389,20200715,20190101,750389
201,201901010750391,20190131,20190101,750391
202,201901010750392,20200731,20190101,750392
203,201901010750394,20190107,20190101,750394
204,201901010750395,20200113,20190101,750395
205,201901010750399,20190102,20190101,750399
206,201901010750401,20200521,20190101,750401
207,201901010750409,20190516,20190101,750409
208,201901010750411,20200311,20190101,750411
209,201901010750416,20190102,20190101,750416
210,201901010750418,20200302,20190101,750418
211,201901010750425,20200730,20190101,750425
212,201901010750428,20200208,20190101,750428
213,201901010750434,20190725,20190101,750434
214,201901010750439,20190102,20190101,750439
215,201901010750441,20191018,20190101,750441
216,201901010750443,20191023,20190101,750443
217,201901010750444,20200113,20190101,750444
218,201901010750447,20200510,20190101,750447
219,201901010750448,20190102,20190101,750448
220,201901010750451,20190102,20190101,750451
221,201901010750454,20190118,20190101,750454
222,201901010750457,20191023,20190101,750457
223,201901010750459,20191024,20190101,750459
224,201901010750464,20190128,20190101,750464
225,201901010750469,20190627,20190101,750469
226,201901010750477,20190603,20190101,750477
227,201901010750482,20190902,20190101,750482
228,201901010750485,20190309,20190101,750485
229,201901010750486,20200520,20190101,750486
230,201901010750487,20190103,20190101,750487
231,201901010750489,20190119,20190101,750489
232,201901010750496,20190404,20190101,750496
233,201901010750498,20190609,20190101,750498
234,201901010750504,20190908,20190101,750504
235,201901010750508,20190119,20190101,750508
236,201901010750512,20190831,20190101,750512
237,201901010750514,20190626,20190101,750514
238,201901010750516,20200127,20190101,750516
239,201901010750520,20190714,20190101,750520
240,201901010750524,20190102,20190101,750524
241,201901010750525,20190102,20190101,750525
242,201901010750526,20190311,20190101,750526
243,201901010750527,20191218,20190101,750527
244,201901010750529,20191108,20190101,750529
245,201901010750534,20190717,20190101,750534
246,201901010750537,20200213,20190101,750537
247,201901010750538,20190131,20190101,750538
248,201901010750540,20190102,20190101,750540
249,201901010750542,20190102,20190101,750542
250,201901010750549,20190829,20190101,750549
251,201901010750550,20190405,20190101,750550
252,201901010750556,20190708,20190101,750556
253,201901010750557,20200520,20190101,750557
254,201901010750558,20190131,20190101,750558
255,201901010750560,20190531,20190101,750560
256,201901010750563,20190807,20190101,750563
257,201901010750570,20191012,20190101,750570
258,201901010750571,20190130,20190101,750571
259,201901010750573,20190131,20190101,750573
260,201901010750575,20190920,20190101,750575
261,201901010750577,20200401,20190101,750577
262,201901010750580,20200315,20190101,750580
263,201901010750581,20200621,20190101,750581
264,201901010750582,20190708,20190101,750582
265,201901010750589,20200418,20190101,750589
266,201901010750600,20200330,20190101,750600
267,201901020750591,20190118,20190102,750591
268,201901020750592,20190103,20190102,750592
269,201901020750595,20190131,20190102,750595
270,201901020750596,20191220,20190102,750596
271,201901020750601,20191218,20190102,750601
272,201901020750606,20190619,20190102,750606
273,201901020750610,20190112,20190102,750610
274,201901020750612,20200503,20190102,750612
275,201901020750613,20190807,20190102,750613
276,201901020750616,20190106,20190102,750616
277,201901020750618,20190730,20190102,750618
278,201901020750622,20190225,20190102,750622
279,201901020750623,20190323,20190102,750623
280,201901020750626,20190103,20190102,750626
281,201901020750628,20190430,20190102,750628
282,201901020750630,20191119,20190102,750630
283,201901020750635,20200803,20190102,750635
284,201901020750636,20200219,20190102,750636
285,201901020750638,20191022,20190102,750638
286,201901020750650,20200402,20190102,750650
287,201901020750651,20200701,20190102,750651
288,201901020750653,20190220,20190102,750653
289,201901020750655,20190730,20190102,750655
290,201901020750657,20200801,20190102,750657
291,201901020750658,20200801,20190102,750658
292,201901020750660,20191012,20190102,750660
293,201901020750661,20190301,20190102,750661
294,201901020750663,20200411,20190102,750663
295,201901020750669,20190705,20190102,750669
296,201901020750673,20190118,20190102,750673
297,201901020750682,20190603,20190102,750682
298,201901020750685,20190722,20190102,750685
299,201901020750686,20190102,20190102,750686
300,201901020750687,20190105,20190102,750687
301,201901020750688,20200528,20190102,750688
302,201901020750699,20190131,20190102,750699
303,201901020750701,20200515,20190102,750701
304,201901020750706,20190430,20190102,750706
305,201901020750708,20190415,20190102,750708
306,201901020750712,20200221,20190102,750712
307,201901020750714,20190207,20190102,750714
308,201901020750723,20190802,20190102,750723
309,201901020750725,20200613,20190102,750725
310,201901020750730,20190102,20190102,750730
311,201901020750731,20191211,20190102,750731
312,201901020750736,20190102,20190102,750736
313,201901020750737,20190102,20190102,750737
314,201901020750744,20200309,20190102,750744
315,201901020750747,20190102,20190102,750747
316,201901020750748,20191217,20190102,750748
317,201901020750751,20191128,20190102,750751
318,201901020750754,20191217,20190102,750754
319,201901020750755,20190626,20190102,750755
320,201901020750757,20190827,20190102,750757
321,201901020750758,20200326,20190102,750758
322,201901020750759,20200518,20190102,750759
323,201901020750760,20191121,20190102,750760
324,201901020750767,20190210,20190102,750767
325,201901020750768,20190504,20190102,750768
326,201901020750769,20200205,20190102,750769
327,201901020750776,20200801,20190102,750776
328,201901020750786,20190102,20190102,750786
329,201901020750792,20190102,20190102,750792
330,201901020750793,20191221,20190102,750793
331,201901020750797,20190923,20190102,750797
332,201901020750799,20190921,20190102,750799
333,201901020750802,20200121,20190102,750802
334,201901020750806,20190722,20190102,750806
335,201901020750809,20200316,20190102,750809
336,201901020750810,20190521,20190102,750810
337,201901020750811,20190314,20190102,750811
338,201901020750814,20200315,20190102,750814
339,201901020750815,20190102,20190102,750815
340,201901020750816,20190201,20190102,750816
341,201901020750818,20200724,20190102,750818
342,201901020750822,20190326,20190102,750822
343,201901020750825,20190102,20190102,750825
344,201901020750826,20190417,20190102,750826
345,201901020750827,20190612,20190102,750827
346,201901020750836,20190530,20190102,750836
347,201901020750837,20200108,20190102,750837
348,201901020750840,20200519,20190102,750840
349,201901020750841,20200616,20190102,750841
350,201901020750842,20190117,20190102,750842
351,201901020750844,20200414,20190102,750844
352,201901020750846,20190307,20190102,750846
353,201901020750848,20190919,20190102,750848
354,201901020750851,20190730,20190102,750851
355,201901020750855,20200521,20190102,750855
356,201901020750857,20190118,20190102,750857
357,201901020750858,20190323,20190102,750858
358,201901020750860,20190730,20190102,750860
