antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'3단계'}),frozenset({'2단계'}),0.40660479577896075,0.30183257172469025,0.13732510481933385,0.33773606766307496,1.118951694753253,0.014598533633777652,1.0542132738705736
frozenset({'2단계'}),frozenset({'3단계'}),0.30183257172469025,0.40660479577896075,0.13732510481933385,0.45497112533166845,1.118951694753253,0.014598533633777652,1.088740857229152
frozenset({'4단계'}),frozenset({'3단계'}),0.2958967352899609,0.40660479577896075,0.15513261412352192,0.5242795733163509,1.2894082380704646,0.034819582499286156,1.247361204053664
frozenset({'3단계'}),frozenset({'4단계'}),0.40660479577896075,0.2958967352899609,0.15513261412352192,0.38153168810103116,1.2894082380704646,0.034819582499286156,1.1384629594815188
frozenset({'3단계'}),frozenset({'생리대'}),0.40660479577896075,0.13256701370895557,0.05474160267583738,0.13463098134630982,1.0155692398856144,0.0008392191396808107,1.0023850722557242
frozenset({'생리대'}),frozenset({'3단계'}),0.13256701370895557,0.40660479577896075,0.05474160267583738,0.4129353233830846,1.0155692398856142,0.0008392191396808107,1.0107833563426178
frozenset({'3단계'}),frozenset({'수유용품'}),0.40660479577896075,0.3329250482875583,0.14137654873510153,0.34770015061985865,1.0443796656583755,0.006007627466438237,1.0226507829893579
frozenset({'수유용품'}),frozenset({'3단계'}),0.3329250482875583,0.40660479577896075,0.14137654873510153,0.42464978067072306,1.0443796656583755,0.006007627466438237,1.0313634796434048
frozenset({'3단계'}),frozenset({'아이_생활용품'}),0.40660479577896075,0.1233806001790173,0.0589814858435012,0.14505851002201367,1.1756995006633386,0.008814342104626262,1.0253560157006236
frozenset({'아이_생활용품'}),frozenset({'3단계'}),0.1233806001790173,0.40660479577896075,0.0589814858435012,0.478045055364643,1.1756995006633388,0.008814342104626262,1.136870548540528
frozenset({'이벤트'}),frozenset({'3단계'}),0.25750223771611624,0.40660479577896075,0.13011730343430536,0.5053055250640323,1.2427436427452454,0.02541565865511851,1.1995185600119087
frozenset({'3단계'}),frozenset({'이벤트'}),0.40660479577896075,0.25750223771611624,0.13011730343430536,0.3200092689143784,1.2427436427452454,0.02541565865511851,1.0919233576882263
frozenset({'3단계'}),frozenset({'주방용품'}),0.40660479577896075,0.14095256041833515,0.057850850332124185,0.14227783570849264,1.0094022789385606,0.0005388632887053935,1.0015451102295487
frozenset({'주방용품'}),frozenset({'3단계'}),0.14095256041833515,0.40660479577896075,0.057850850332124185,0.410427807486631,1.0094022789385606,0.0005388632887053935,1.0064843826696992
frozenset({'4단계'}),frozenset({'5단계'}),0.2958967352899609,0.143025392189193,0.07622367739200075,0.2576022926285623,1.8010948174000305,0.03390293077965227,1.1543335860303838
frozenset({'5단계'}),frozenset({'4단계'}),0.143025392189193,0.2958967352899609,0.07622367739200075,0.5329380764163374,1.8010948174000307,0.03390293077965227,1.5075158756415228
frozenset({'4단계'}),frozenset({'수유용품'}),0.2958967352899609,0.3329250482875583,0.09874216799359306,0.3337048240725999,1.0023421962061805,0.00023073310905195876,1.001170315819796
frozenset({'수유용품'}),frozenset({'4단계'}),0.3329250482875583,0.2958967352899609,0.09874216799359306,0.29658978350077825,1.0023421962061805,0.00023073310905195876,1.0009852689007939
frozenset({'4단계'}),frozenset({'이벤트'}),0.2958967352899609,0.25750223771611624,0.10830546002732369,0.3660245183887916,1.4214420877861105,0.03211138855726546,1.1711774095693304
frozenset({'이벤트'}),frozenset({'4단계'}),0.25750223771611624,0.2958967352899609,0.10830546002732369,0.4206000731796561,1.4214420877861105,0.03211138855726546,1.215228432240314
frozenset({'4단계'}),frozenset({'티슈'}),0.2958967352899609,0.21109907193668442,0.07236067272812927,0.2445470466486228,1.1584468108034627,0.00989714651932374,1.044275390761999
frozenset({'티슈'}),frozenset({'4단계'}),0.21109907193668442,0.2958967352899609,0.07236067272812927,0.3427806293238116,1.1584468108034625,0.00989714651932374,1.0713367501411495
frozenset({'수유용품'}),frozenset({'생리대'}),0.3329250482875583,0.13256701370895557,0.05351674753851227,0.1607471345691241,1.2125726458773267,0.009381868098120832,1.0335776284132203
frozenset({'생리대'}),frozenset({'수유용품'}),0.13256701370895557,0.3329250482875583,0.05351674753851227,0.40369580668088134,1.2125726458773267,0.009381868098120832,1.1186823087716395
frozenset({'티슈'}),frozenset({'생리대'}),0.21109907193668442,0.13256701370895557,0.06246761200358034,0.2959160901584467,2.2322000162734006,0.0344828384402021,1.2320022857591664
frozenset({'생리대'}),frozenset({'티슈'}),0.13256701370895557,0.21109907193668442,0.06246761200358034,0.47121535181236673,2.2322000162734006,0.0344828384402021,1.491913448635867
frozenset({'아이_생활용품'}),frozenset({'수유용품'}),0.1233806001790173,0.3329250482875583,0.07523437131954586,0.6097747231767849,1.8315675744833186,0.0341578790471986,1.7094611531652488
frozenset({'수유용품'}),frozenset({'아이_생활용품'}),0.3329250482875583,0.1233806001790173,0.07523437131954586,0.22597990660817885,1.8315675744833189,0.0341578790471986,1.1325538022915695
frozenset({'이벤트'}),frozenset({'수유용품'}),0.25750223771611624,0.3329250482875583,0.10152164695906157,0.39425539699963413,1.184216684889095,0.015792702033269254,1.101247866523771
frozenset({'수유용품'}),frozenset({'이벤트'}),0.3329250482875583,0.25750223771611624,0.10152164695906157,0.30493844629970285,1.184216684889095,0.015792702033269254,1.068247493090433
frozenset({'주방용품'}),frozenset({'수유용품'}),0.14095256041833515,0.3329250482875583,0.07170113534649268,0.5086898395721925,1.5279410251307386,0.02477449736296347,1.3577471126011058
frozenset({'수유용품'}),frozenset({'주방용품'}),0.3329250482875583,0.14095256041833515,0.07170113534649268,0.2153671996603934,1.5279410251307386,0.02477449736296347,1.0948400821503383
frozenset({'티슈'}),frozenset({'수유용품'}),0.21109907193668442,0.3329250482875583,0.07141847646864842,0.33831733987949114,1.0161967134034184,0.0011383077506690181,1.0081493620989717
frozenset({'수유용품'}),frozenset({'티슈'}),0.3329250482875583,0.21109907193668442,0.07141847646864842,0.21451818310457052,1.0161967134034184,0.0011383077506690181,1.004352883917033
frozenset({'이벤트'}),frozenset({'티슈'}),0.25750223771611624,0.21109907193668442,0.06826211899938757,0.2650933040614709,1.2557767385210539,0.013903635595895934,1.0734708670137125
frozenset({'티슈'}),frozenset({'이벤트'}),0.21109907193668442,0.25750223771611624,0.06826211899938757,0.3233653202410176,1.255776738521054,0.013903635595895934,1.09733920606665
frozenset({'티슈'}),frozenset({'주방용품'}),0.21109907193668442,0.14095256041833515,0.06567107928581524,0.31109127426913635,2.2070636627376192,0.035916124594405255,1.2469684408051311
frozenset({'주방용품'}),frozenset({'티슈'}),0.14095256041833515,0.21109907193668442,0.06567107928581524,0.4659090909090909,2.2070636627376192,0.035916124594405255,1.4770910993525908
"frozenset({'4단계', '3단계'})",frozenset({'2단계'}),0.15513261412352192,0.30183257172469025,0.058698826965656946,0.3783783783783784,1.253603533297618,0.011874751086380322,1.1231389063559332
"frozenset({'4단계', '2단계'})",frozenset({'3단계'}),0.08253639233052244,0.40660479577896075,0.058698826965656946,0.7111872146118722,1.7490871283242047,0.025139134017772687,2.054601576670476
"frozenset({'3단계', '2단계'})",frozenset({'4단계'}),0.13732510481933385,0.2958967352899609,0.058698826965656946,0.42744425385934826,1.444572389217065,0.018064776776264384,1.2297549530435976
